news_id,average followers,average follows,repost total,post total,repost percentage,average repost,average favorite,label,news lifetime,nb users 10 hours,average time difference,retweet percentage 1 hour
gossipcop-1115907121,3260.203703703704,3060.3703703703704,22,100,0.18032786885245902,0.3770491803278688,3.5185185185185186,0,11419,78,0.0,0.2786885245901639
gossipcop-1196788294,4174.109489051095,1625.5620437956204,664,96,0.8736842105263158,16.639473684210525,66.65693430656934,0,92,1,0.0,0.0013157894736842105
gossipcop-1225099614,2158.796875,809.25,44,54,0.4489795918367347,1.7959183673469388,2.234375,0,49388,1,0.0,0.02040816326530612
gossipcop-1339876563,925.1451612903226,575.4758064516129,162,100,0.6183206106870229,5.702290076335878,6.935483870967742,0,12732,10,0.0,0.007633587786259542
gossipcop-1410900558,2133.6666666666665,200.66666666666666,0,6,0.0,0.0,1.5,0,7107,1,0.0,0.16666666666666666
gossipcop-1512858640,948.8157894736842,1073.2456140350878,28,99,0.2204724409448819,0.6614173228346457,1.4385964912280702,0,8456,92,0.0,0.31496062992125984
gossipcop-1548037832,660.12,261.02,13,100,0.11504424778761062,0.8141592920353983,2.7,0,77546,4,0.0,0.008849557522123894
gossipcop-1692898142,1042.588785046729,637.4018691588785,19,99,0.16101694915254236,0.22033898305084745,3.0373831775700935,0,7089,12,0.0,0.025423728813559324
gossipcop-1904248445,1534.7445887445888,382.3030303030303,179,200,0.47229551451187335,5.722955145118734,6.9480519480519485,0,76214,18,0.0,0.021108179419525065
gossipcop-1912691606,776.4225352112676,1100.037558685446,1424,99,0.9349967170059094,11.486539724228496,21.460093896713616,0,43223,4,0.0,0.0006565988181221273
gossipcop-2029753949,798.4466019417475,441.6116504854369,16,98,0.14035087719298245,0.24561403508771928,1.970873786407767,0,69771,2,0.0,0.008771929824561403
gossipcop-2036408420,1307.9097222222222,1007.5,904,100,0.900398406374502,25.175298804780876,113.11805555555556,0,81341,3,0.0,0.00199203187250996
gossipcop-2079115991,7026.785714285715,1251.642857142857,30,9,0.7692307692307693,3.8461538461538463,10.0,0,45054,1,0.0,0.02564102564102564
gossipcop-2096283948,2237.6221374045804,1053.0687022900763,25988,100,0.9961668199938669,96.73282735357252,473.64503816793894,0,27699,6,0.0,7.666360012266176e-05
gossipcop-218256509,4137.677419354839,572.7258064516129,52,42,0.5531914893617021,1.872340425531915,4.290322580645161,0,33865,1,0.0,0.02127659574468085
gossipcop-2198033075,1151.5454545454545,466.8636363636364,0,22,0.0,0.0,3.1363636363636362,0,13275,1,0.0,0.045454545454545456
gossipcop-2394982572,1147.8647058823528,794.7235294117647,1078,100,0.9151103565365025,24.084889643463498,28.570588235294117,0,59482,3,0.0,0.0008488964346349745
gossipcop-2683046680,863.46,451.86,16,50,0.24242424242424243,9.696969696969697,3.4,0,83518,12,0.0,0.09090909090909091
gossipcop-2710044770,1386.983870967742,1047.3790322580646,104,99,0.5123152709359606,1.9605911330049262,6.701612903225806,0,66523,3,0.0,0.0049261083743842365
gossipcop-2895484840,14722.0,1618.0,0,1,0.0,0.0,0.0,0,0,1,0.0,1.0
gossipcop-3023813681,1471.6173913043478,1109.608695652174,22,100,0.18032786885245902,0.2459016393442623,1.3043478260869565,0,4817,91,0.0,0.6147540983606558
gossipcop-3178412868,994.7924528301887,618.1037735849056,20,97,0.17094017094017094,0.2222222222222222,2.792452830188679,0,13844,1,0.0,0.008547008547008548
