post_uri,post_cid,type,date,news_id,like_count,repost_count,user_name,follower_count,follows_count,retweet_date
at://did:plc:3puuhos3mbjqfs3trs7tmg4h/app.bsky.feed.post/3lehaix2bzu2p,bafyreigk5dwdjqxebko27zfbwvv6z75lh2q6q42kzcbxqf5kryhtdz7lee,post,2024-12-29T14:36:06Z,gossipcop-4580247171,0,0,whispernews.bsky.social,53,15,
at://did:plc:zup5ptsoennaoes7fwnhm4vl/app.bsky.feed.post/3leh7bllq3h25,bafyreieail5kjlo4c4g7w2r37awscjffogg5bgrobtzsrsu72yrzro4zvq,post,2024-12-29T14:14:05Z,gossipcop-4580247171,0,0,ellevennews.bsky.social,19,1,
at://did:plc:27lhwrnqln5lg7qblrwjcxij/app.bsky.feed.post/3legttejgmnu2,bafyreifxmhgpydnpmojl2bakvem5xnz3alw4tmnuylh3rxqi7bmdpoicnq,post,2024-12-29T10:49:07.000Z,gossipcop-4580247171,0,0,radioeinsMusicBot.mastodonapp.uk.ap.brid.gy,11,0,
at://did:plc:f2ompp5vd4bnz7t4xncar27g/app.bsky.feed.post/3legichvdnk2p,bafyreih7ehy6ucc3tz3uhfz33vpblgx6zhky63xcgpnwhpvpvuyh5jwhwe,post,2024-12-29T07:23:00.838Z,gossipcop-4580247171,1,0,idakeogh.bsky.social,939,813,
at://did:plc:sxbfu7giy35hcpekhb7khwer/app.bsky.feed.post/3lefxilm6zf2e,bafyreif23i6oouvyf6pffulrkkjcofyojs63csxkyywzz6mfd37iouj3zi,post,2024-12-29T02:22:10+00:00,gossipcop-4580247171,0,0,inbella.bsky.social,241,1,
at://did:plc:233vxz7hv2et3d5iu6eh2iaw/app.bsky.feed.post/3lefbxbcbsk2o,bafyreifqwtbklrpzczfngxow6oibpzqynqpsyxk4f7sf6scbib3ovqflni,post,2024-12-28T19:56:42.553Z,gossipcop-4580247171,3,3,indigofro.bsky.social,957,841,
at://did:plc:tgom452bfjc4eoukc5a6dexo/app.bsky.feed.post/3lefabg6mjj2p,bafyreifm2j6u4c67ftpxdqtadogwjr45fnme4a77z7snrugmhpcljofru4,post,2024-12-28T19:26:34Z,gossipcop-4580247171,0,0,newsabe.bsky.social,18,18,
at://did:plc:3puuhos3mbjqfs3trs7tmg4h/app.bsky.feed.post/3leeva7valm2a,bafyreifsvn74k7t7rpvaafqn6iyk3ldtx4lh74u73xrus2wiw6t55q6yji,post,2024-12-28T16:09:03Z,gossipcop-4580247171,0,0,whispernews.bsky.social,53,15,
at://did:plc:zup5ptsoennaoes7fwnhm4vl/app.bsky.feed.post/3leetmh4rus2n,bafyreicsus3nth7nsetsbne6bf3zsy65loyg2tluwr5x7leklejxjovko4,post,2024-12-28T15:40:05Z,gossipcop-4580247171,0,0,ellevennews.bsky.social,19,1,
at://did:plc:hqot47hknlv5bhnq2ettwu2q/app.bsky.feed.post/3ledwvfdxj227,bafyreig4ggyl342y7gnrukgovwzddonhcvhr74s6lefhr53zrup3zyasca,post,2024-12-28T07:06:08.875Z,gossipcop-4580247171,1,0,kanjul.bsky.social,207,198,
at://did:plc:5tuh52zmwdyumcp4oima7wr2/app.bsky.feed.post/3led2lsz37224,bafyreidymty7y5l3ccrh373jkgneolw4pg6ybnzd2hwunw3k5armb2asai,post,2024-12-27T22:39:42.884Z,gossipcop-4580247171,1,0,kristinkuster.bsky.social,238,517,
at://did:plc:xg5uhct3wkvqgmuqwx5fc3ri/app.bsky.feed.post/3lec444ppbc2g,bafyreib7dc64ofde6p2owp7tl2nsakkshpgdng44lb64doqcibqeck2exq,post,2024-12-27T13:34:03.902Z,gossipcop-4580247171,0,0,jons1977.bsky.social,58,85,
at://did:plc:xg5uhct3wkvqgmuqwx5fc3ri/app.bsky.feed.post/3lec3otc5i22g,bafyreidf2iyh4vlxxa5xp7g2bttmgdu6uv7kt2gd3knk6rthx75pcylziu,post,2024-12-27T13:26:37.836Z,gossipcop-4580247171,0,0,jons1977.bsky.social,58,85,
at://did:plc:xg5uhct3wkvqgmuqwx5fc3ri/app.bsky.feed.post/3lebwxtwe6s2g,bafyreif4astgwhywbwlkub6oq3fqgx6fynjvxepcpnnc4j43l27q35nrrm,post,2024-12-27T12:02:11.767Z,gossipcop-4580247171,0,0,jons1977.bsky.social,58,85,
at://did:plc:trvnfom645rczit35wjwt3q2/app.bsky.feed.post/3le7vjj3zsq25,bafyreiadvl23nntyf25dopuluzg4srjresnncw2irmrs6jkjua27kzqyxa,post,2024-12-26T16:30:57.411042+00:00,gossipcop-4580247171,0,0,infinitebaseball.ai,87,176,
at://did:plc:ldem4npkq4qrsv6lz2llj63q/app.bsky.feed.post/3le76svezz22l,bafyreiaqapd64eyrp4vm4rmdmha24atxnaxczgyvcneprb23rce2udaq3a,post,2024-12-26T09:44:36.267Z,gossipcop-4580247171,0,0,janjanjanet.bsky.social,5,0,
at://did:plc:bv7t2pmllawy4zplnsaet6hf/app.bsky.feed.post/3le6rj5zfs22q,bafyreiajfdls3oa2lpc6rhpwew6lflkufkd3acar77erest7iq32u2cj2u,post,2024-12-26T05:46:31.135Z,gossipcop-4580247171,1,0,amistadsociety.bsky.social,206,147,
at://did:plc:oirl2wfqqce5vx6jnkzkfbzf/app.bsky.feed.post/3le5qex37x32e,bafyreie4ldejndmifqdne5j4kkfjcpovidud4pgbe56drourxjoeqype4e,post,2024-12-25T19:53:34Z,gossipcop-4580247171,1,0,surajworld.bsky.social,54,2,
at://did:plc:lubfb5sfhfnt53kmzmff7i3m/app.bsky.feed.post/3le47lyezls2k,bafyreib3ezgnxildkqlsjf7lpmgmoydalivufeheglcfqwtjvu2zbpz3oi,post,2024-12-25T05:20:39.058Z,gossipcop-4580247171,0,0,sandiso.bsky.social,4,11,
at://did:plc:zjus3rygcbd66mhoinfl2vrs/app.bsky.feed.post/3le3og3smzc2k,bafyreidqfenjth55632vyfmfni3wccxo3sfxtposkuhwvrrfii5mlk5ufy,post,2024-12-25T00:13:07.712Z,gossipcop-4580247171,5,0,heartstillgold.bsky.social,499,125,
at://did:plc:v3ceybg57vufuxiqfalm6ikv/app.bsky.feed.post/3ldyeycfbsk2e,bafyreie2ugsfwzsyxgfdwqp7gr6xhfxm63w3r46xudxv57jwvmmf5ibd4i,post,2024-12-23T16:46:21.958Z,gossipcop-4580247171,6,2,dakotajohnsonarg.bsky.social,33,8,
at://did:plc:w7ry6dyjt6z3hjexyi6nsnoi/app.bsky.feed.post/3ldy6xc7wcc2x,bafyreibnhw3csnfsvicdo2imjd445wgnlrfbesr746v63disxkoqtwn7yi,post,2024-12-23T14:58:25.778Z,gossipcop-4580247171,0,0,jacksonwangwins.bsky.social,141,584,
at://did:plc:sxbfu7giy35hcpekhb7khwer/app.bsky.feed.post/3ldwam2upbh2j,bafyreif4v43vsr73qwe62ydetclx4yi5hvxbvzsrivvru3ks4isdwfj6ce,post,2024-12-22T20:22:34+00:00,gossipcop-4580247171,2,0,inbella.bsky.social,241,1,
at://did:plc:gg7d3b75gg6bat3d3mjs3feo/app.bsky.feed.post/3ldv2wemp6225,bafyreigdih2mwuguqf7rruiypbixmfot362fauzziybfqsqxhvtia3kg34,post,2024-12-22T09:08:20.558Z,gossipcop-4580247171,0,0,kayuwe.bsky.social,407,220,
at://did:plc:ggpbznwwuursvgpappi4qswe/app.bsky.feed.post/3lduhglobik2p,bafyreiac5x2a63l2ulmzvw5qs6be23sxuithn5h7uqki5urfamawlsx4ju,post,2024-12-22T03:19:29.986Z,gossipcop-4580247171,8,1,gimmethatagustd.bsky.social,278,291,
at://did:plc:l6gxcy5wo2uy7wyvh4e64boc/app.bsky.feed.post/3ldu4cm67xq2m,bafyreiawmtj35yzog2hd7vofodzmejywwypcv5fmxwx3f4bpxqr4mdujpi,post,2024-12-22T00:00:24.944Z,gossipcop-4580247171,0,0,aaronrfernandes.bsky.social,68,1,
at://did:plc:m7tlp67tcwsgcb6hohude736/app.bsky.feed.post/3ldtsedg6ic2s,bafyreifaxejexsqohhe5mvnsiq2m7tmeri56ri63xihkxshttctxnfsxk4,post,2024-12-21T21:02:25.645Z,gossipcop-4580247171,6,1,darrenurban.bsky.social,758,43,
at://did:plc:qwqoi7vbtltf7ptzs62pvbv4/app.bsky.feed.post/3ldt2bo7r5k2z,bafyreiburzfhj35roymynmefi22xao2erbzvq3gxmn2htha6prsbmi2upe,post,2024-12-21T13:51:26.502Z,gossipcop-4580247171,0,0,usentertainment101.bsky.social,1,1,
at://did:plc:qwqoi7vbtltf7ptzs62pvbv4/app.bsky.feed.post/3ldt23j3oqs2z,bafyreibdwkk7meo5ii4tq3akpxycepko7l65uym6ivqhq3in6gjk6jmxhi,post,2024-12-21T13:47:59.798Z,gossipcop-4580247171,0,0,usentertainment101.bsky.social,1,1,
at://did:plc:lixiqho3brxosyv26sdx25xi/app.bsky.feed.post/3ldsxqaofxc26,bafyreifmr7glnuigtmxfwrgiz2x64udw5cqwm7yirxfbmjy2scocjggtr4,post,2024-12-21T13:05:54.383Z,gossipcop-4580247171,0,0,olivialiam484.bsky.social,485,1163,
at://did:plc:g73xxgwupw2f6z4g335f4a7h/app.bsky.feed.post/3ldrqseldc22g,bafyreia7ohb5goend73lhhv226vcodx7xu2wdu7673ne567mqzlxpdvvlm,post,2024-12-21T01:29:09.665Z,gossipcop-4580247171,1,0,semisweetasylum.bsky.social,198,84,
at://did:plc:wwc7iab3iwyzlttzzrxpg7i3/app.bsky.feed.post/3ldrga5ytfm2a,bafyreibufmfyws7aw54ohj27wxqksoqqu4uet6eogilzojxxkl4qbycb4m,post,2024-12-20T22:20:00.712Z,gossipcop-4580247171,9,0,geektyrant.com,12370,12793,
at://did:plc:x6urmps3yfcsresjow6ktv43/app.bsky.feed.post/3ldqziyfz4s2o,bafyreift3rakiy4wmtxiva6efwmoawbizdqdvc2xacbl4havpqc3lki3ou,post,2024-12-20T18:32:18.848Z,gossipcop-4580247171,5,0,gr8flbluejay.bsky.social,1007,973,
at://did:plc:gg7d3b75gg6bat3d3mjs3feo/app.bsky.feed.post/3ldpqyau7vs2l,bafyreigsdc3na6i3cuo3mcuccezylwutu4v2aphnp3f4622bbgmjbj3izm,post,2024-12-20T06:27:07.607Z,gossipcop-4580247171,0,0,kayuwe.bsky.social,407,220,
at://did:plc:lltqqe5iz35ggbfu2ahrb3jx/app.bsky.feed.post/3ldov5yox2c2z,bafyreidmbsdfehe4g26wr2tvfji6rmii2uchzcaepin2o4ec5rwixpmzem,post,2024-12-19T22:09:15.604Z,gossipcop-4580247171,0,0,tommygarrett.bsky.social,62,10,
at://did:plc:sxbfu7giy35hcpekhb7khwer/app.bsky.feed.post/3ldop6sqyaw2f,bafyreifgrlc2guzzwqvnaedsf5il4pgtmumztqbdc4mykbrdlzgwklv73e,post,2024-12-19T20:22:18+00:00,gossipcop-4580247171,0,0,inbella.bsky.social,241,1,
at://did:plc:2vbzj7npcjyneq22rvgwhxfn/app.bsky.feed.post/3ldon2v2pxr2s,bafyreifx2iyaa6tkfhrobhv5kwbszf3d5uv2luostyzd25b535ctqwu7fa,post,2024-12-19T19:44:21Z,gossipcop-4580247171,0,0,tmsnetwork.co,471,1,
at://did:plc:2vbzj7npcjyneq22rvgwhxfn/app.bsky.feed.post/3ldoiuphhse2f,bafyreih4xagdse4ot6iw4h2sipnpnjvhlsdhdppo54552esqosdmlzqxbu,post,2024-12-19T18:29:18Z,gossipcop-4580247171,0,0,tmsnetwork.co,471,1,
at://did:plc:zzgn47jts75dihvcpviw32s4/app.bsky.feed.post/3ldmidu4p7s2v,bafyreig3a5alict7evm3b4dewas2whfpa6r2vcc6qaz24emenlrwffd2ii,post,2024-12-18T23:14:34.018Z,gossipcop-4580247171,2,0,goobeak.bsky.social,64,79,
at://did:plc:2l7w3i42oonh5gcqfifhk7vh/app.bsky.feed.post/3ldmgqwe2hc2r,bafyreid3yeg3dt23vvhxgz3ofqgiok7gz4ce3bg6pzvtz26oxgq37zltdi,post,2024-12-18T22:46:05.081Z,gossipcop-4580247171,4,0,bornwithatail.bsky.social,1564,1288,
at://did:plc:2x5zigfnuq5kbkgojzkqc6lf/app.bsky.feed.post/3ldlkbw72tk2z,bafyreifapyojapekfgjg3taieym4nxyypyg3qrggatrmdnuws55ct2q244,post,2024-12-18T14:16:36.831Z,gossipcop-4580247171,0,0,b8akaratn.bsky.social,1064,804,
at://did:plc:4yajv5imw4dp2laudr256hq6/app.bsky.feed.post/3ldktu5esl22f,bafyreigh2rjddm7fc6u6dalus2iuvv47clmaizlfdc57d4xr3otuxjurb4,post,2024-12-18T07:35:12.238Z,gossipcop-4580247171,0,0,uscelebrity.bsky.social,5,9,
at://did:plc:injhn4by2tnmbngnjxssqcxa/app.bsky.feed.post/3ldkece7wgc2k,bafyreihe2zf5oeycuhop7i3zolfmnn3ejhx3alcgovwfhhk65uixyixp2q,post,2024-12-18T02:56:49.350Z,gossipcop-4580247171,1,0,superteacherlady.bsky.social,11850,3097,
at://did:plc:34tamepwrc5tixuu7ifu2hwo/app.bsky.feed.post/3ldj73i3h322v,bafyreihzr7g5mz2ojgykwud5zkp3xnacggfwmwdytoarkux7gdivucdwhq,post,2024-12-17T15:50:50.069Z,gossipcop-4580247171,2,0,swifttakesawaypain.bsky.social,661,881,
at://did:plc:kas4msef6e3ljdjlz53cbqsw/app.bsky.feed.post/3ldhatdmbl22q,bafyreidvqeuld5uijk7ify4wueyl6ckga3ismrblmpmotsglujxumbpv6u,post,2024-12-16T21:16:44.948Z,gossipcop-4580247171,0,0,theessenia.bsky.social,43,51,
at://did:plc:hi66eu66wc5umrmx3azaku3v/app.bsky.feed.post/3ldh4h25oh22w,bafyreifmre7vkkuelglpfy35eqf7lb44ctcwfmzpbacyuz64dhkohnbgty,post,2024-12-16T19:58:17.413Z,gossipcop-4580247171,1,0,fbin.bsky.social,1121,962,
