post_uri,post_cid,type,date,news_id,like_count,repost_count,user_name,follower_count,follows_count,retweet_date
at://did:plc:yrjicqlnrduhq4zxuvzcemkg/app.bsky.feed.post/3lefpcpph6225,bafyreibuyk67lsghtoty2hbfutpsbafwzhohlgu3hy4g7v7unzcevnvosy,post,2024-12-28T23:55:45.489Z,gossipcop-832300074,1,0,kaylastorytella.bsky.social,397,80,
at://did:plc:bqkypc77rg6nuyovehisiujg/app.bsky.feed.post/3lefjxtleuc2u,bafyreihb7ih2lj3jsca4outsup4o3mrtlasw5wy37shkcxtg4j4b6nncxa,post,2024-12-28T22:20:11.741Z,gossipcop-832300074,1,0,marinarama.bsky.social,89,90,
at://did:plc:cwsnfgraytemsfdmazh5n4sk/app.bsky.feed.post/3lefik3uwrs2t,bafyreicdvvnsfdy274gpdord3422ny3fzrvpvdnsfgrfekd2rfvc7n3nju,post,2024-12-28T21:54:36.940Z,gossipcop-832300074,0,0,severust.bsky.social,354,269,
at://did:plc:qaowtmvc57afbwe44k443tfl/app.bsky.feed.post/3ledebhc5d32y,bafyreigrqv5caucnieuhegolsgjcnuy4w32iyfvp5lrel7bai7ywetoo3y,post,2024-12-28T01:32:52.472Z,gossipcop-832300074,0,0,lindseycolt.bsky.social,3073,4898,
at://did:plc:rwjrlfamlt6yssy5yogijc7o/app.bsky.feed.post/3lecwwk6kpk2m,bafyreigm7ssmf5agb2fhwdxvi2ndxrxwts5avsirvrrtqoar4glu3dd2yu,post,2024-12-27T21:34:07.759Z,gossipcop-832300074,0,0,redsquirrel.bsky.social,67,173,
at://did:plc:24k2vmp64gnkeyaqbtlrroa6/app.bsky.feed.post/3lecesnv57c2e,bafyreiejckjocjbe7ddl3x25bikihvgcfdmnnudgclktvqww25h2qilt2q,post,2024-12-27T16:09:50.066Z,gossipcop-832300074,1,0,billbeaux.bsky.social,112,124,
at://did:plc:7ycxb2lwfqwtfib4xcqw7ak2/app.bsky.feed.post/3lec2pt5qb22j,bafyreih4jjwu7eqi5lnehngobtl2vukdpdfu233wbhmzby3kq4kjp7nuvy,post,2024-12-27T13:09:17.507Z,gossipcop-832300074,0,0,rodrigues58.bsky.social,266,227,
at://did:plc:wqnp33kub7mqehnxep5dfcao/app.bsky.feed.post/3leacmbnqrc2b,bafyreic6qntorwtgfterhdeogscggxsch445dczxv4kxd4dq4mjava3gqq,post,2024-12-26T20:25:08.962Z,gossipcop-832300074,2,0,queenoflemkos.bsky.social,2016,3173,
at://did:plc:oupasfyjsqp2mn766je7mtco/app.bsky.feed.post/3le6uejt4fk2s,bafyreib4h7v6sbszd5n6ecvgqrfzguyur3zmyktvdl46mjihoeahzg2g7q,post,2024-12-26T06:37:36.469Z,gossipcop-832300074,6,0,indorfin.bsky.social,1067,701,
at://did:plc:3d7vtsj5u5b24phnqgyfa3eo/app.bsky.feed.post/3le6dj3z2qk2g,bafyreie4pdudx6du3cx3ebpqjvdwqtvdbjtoi6bs7a6lz6wqvahbou4gkm,post,2024-12-26T01:35:56.642Z,gossipcop-832300074,0,0,hilton.bsky.social,252,63,
at://did:plc:hrajezzj4q2pyrzbfnak6mxo/app.bsky.feed.post/3le6dd2urwr2u,bafyreici6wp7fndmklkmtzcs5ukxknyidxxyy3njft6poaasl3yf4mfibi,post,2024-12-26T01:32:33Z,gossipcop-832300074,0,0,geraldsaunders.bsky.social,221,128,
at://did:plc:kpwivtnp34qoczb5wyiyerxr/app.bsky.feed.post/3le3ccy6t5c2o,bafyreiblun3umsz55dheefc563bx326hkguypfc4ea53u6q32jxd6genla,post,2024-12-24T20:36:38.353Z,gossipcop-832300074,1,0,recklessbeading.bsky.social,254,252,
at://did:plc:7e7anqo3r3d6nk27g4auwghr/app.bsky.feed.post/3le2y5s27k22b,bafyreiak6wmnmh5do22urbpj5yynbriu3eoabsgo3r4xhq7lkzvjz4nwuu,post,2024-12-24T17:34:46.720Z,gossipcop-832300074,2,0,ceilican.bsky.social,42,121,
at://did:plc:pir3il3ixyobnvzyw3op6xti/app.bsky.feed.post/3le2ly4c47222,bafyreidtnmi2dbkjh4i6wmmira4zlqplye5juzcxe5q7d6gk277xkys5cm,post,2024-12-24T13:56:51.230Z,gossipcop-832300074,14,2,gaycuckhusband77.bsky.social,783,318,
at://did:plc:xlqxlwi6lil72dgf7vuyu7ib/app.bsky.feed.post/3ldzqwdum322i,bafyreiainnkcvpsgdu33h3ygucmw2qx4ptkreoa7ortpwnsc5mjuyhyise,post,2024-12-24T05:52:40.623Z,gossipcop-832300074,0,0,themeg.bsky.social,1134,1595,
at://did:plc:ehks426unjkedogczczlbpcl/app.bsky.feed.post/3ldyruplwac2t,bafyreicw7qf7awxlx33g44dvnedwqphy7mcl3kp45fmdsv4lm6pvk3ung4,post,2024-12-23T20:37:00.236Z,gossipcop-832300074,2,0,daedraslayer4.bsky.social,940,513,
at://did:plc:vn4g6a25fht46rejvenqauwc/app.bsky.feed.post/3ldyo2djcu22r,bafyreih6vbd2g54mcdoodevcpkhggqdfunjs6u3dtjydmwnsv23gfofcc4,post,2024-12-23T19:28:33.928Z,gossipcop-832300074,2,0,dsg-rr17.bsky.social,341,109,
at://did:plc:sxbfu7giy35hcpekhb7khwer/app.bsky.feed.post/3ldy3phs3cd2y,bafyreiehuilaiqy6lzvriu7uvxleq5c2vzdzvs4wp7m5xegnqtk24apaa4,post,2024-12-23T14:00:19+00:00,gossipcop-832300074,0,0,inbella.bsky.social,242,1,
at://did:plc:ni53xgu4chywlmtgfz7wch5k/app.bsky.feed.post/3ldxyejfwsc27,bafyreignxxtdzqmvorz2o6ymip5u2m7zrjvtvblczbkyubtbzumapq47fe,post,2024-12-23T13:00:33.333Z,gossipcop-832300074,1,0,delstyles.bsky.social,290,281,
at://did:plc:xlzaderhtc6yheddtqbz5pqb/app.bsky.feed.post/3ldxxhukmfk2b,bafyreihlyfxuxrxllpfo7wsgyk2ffsacbonhgjzzzj266v7ab3avrqitei,post,2024-12-23T12:44:31.936Z,gossipcop-832300074,60,4,ruizvidal7.bsky.social,4306,876,
