post_uri,post_cid,type,date,news_id,like_count,repost_count,user_name,follower_count,follows_count,retweet_date
at://did:plc:zeo3or5sqctdmhshdskm2m52/app.bsky.feed.post/3lbzo775fdk2v,bafyreiaf42ufljqqzz2wzmmj2ceybjnb22bycqtgt7tdizlbmlrunmh7wm,post,2024-11-28T18:13:33.589Z,gossipcop-894416,1,1,ekatj.bsky.social,233,656,
at://did:plc:frzupscglnauqx3sbcvqxufo/app.bsky.feed.post/3lbpobpfbus2x,bafyreid7ffdyiwe4fk7tisuwj45da7niv3l7luokmry2ivvv5jbo54ooui,post,2024-11-24T18:48:20.359Z,gossipcop-894416,0,0,elisabethsyme.swifties.social,1209,1115,
at://did:plc:miivanmzlybm4sqlqznwp3mj/app.bsky.feed.post/3lb3wm4br6n2l,bafyreidoefyvf3f2hw6hhxhq2dgvdvannx5z76yceclnxtwxvakjkxbpya,post,2024-11-16T22:24:04.845Z,gossipcop-894416,8,0,hippiecahier.bsky.social,463,305,
at://did:plc:5uklzh3lzf6c24iywcqmyudd/app.bsky.feed.post/3lahglc353y2s,bafyreia2y3neaw3qam7konnwoaazwxxsr7glenikibknwaffbuapsgr46u,post,2024-11-08T18:44:03.608Z,gossipcop-894416,0,0,belleofball.bsky.social,293,208,
at://did:plc:xkywgpnzsxap6wluxkhlzegg/app.bsky.feed.post/3lahgbbm62h2x,bafyreifdkfzyriqc6mgckw6rbri2tkpc62pi5m5labtw7bc6a5eaiet2ma,post,2024-11-08T18:38:26.387Z,gossipcop-894416,1,0,sannewman.bsky.social,12266,1568,
at://did:plc:xkywgpnzsxap6wluxkhlzegg/app.bsky.feed.post/3lahfpce2c225,bafyreiesb2m5gjdqfpr4umpcpdrn4lcj6u2nsoitpyrfw3hmy6njwegziq,post,2024-11-08T18:28:23.184Z,gossipcop-894416,3,0,sannewman.bsky.social,12266,1568,
at://did:plc:xkywgpnzsxap6wluxkhlzegg/app.bsky.feed.post/3lahfle47tt2n,bafyreihjhnxifazzojyjsbwiimxs2zjftjfqvrz2q5xwy5gkvu5fhmxs5e,post,2024-11-08T18:26:10.727Z,gossipcop-894416,100,5,sannewman.bsky.social,12266,1568,
at://did:plc:mwxwzfwj7zd36a6c2v7vldha/app.bsky.feed.post/3l4zlhb3r7g2v,bafyreihvqkau7x6rd3ma76ipml7gyltualfiykr5h7oojr4dc6my7zq2qe,post,2024-09-26T02:18:24.621Z,gossipcop-894416,4,0,legalminimum.bsky.social,13505,8820,
at://did:plc:2bij7yypmcuvwyz4gyqwtluy/app.bsky.feed.post/3l4ziz3t7xf2y,bafyreigmdamsinytd62lfs5wjluuswl4lg4tozih2mka6mk3cnoetlqnma,post,2024-09-26T01:34:39.219Z,gossipcop-894416,2,0,adrienneleigh.bsky.social,2376,1207,
at://did:plc:flpfwd36ahipuslvlnnfciep/app.bsky.feed.post/3l4ynzpkjbp2e,bafyreiaeysssgncajx73xd4sub2avd75coedzffi2qriy4gso3vobdtfbe,post,2024-09-25T17:31:51.297Z,gossipcop-894416,4,0,akivamcohen.bsky.social,27692,2439,
at://did:plc:oy2zfnmsa3j6bylw2mnhy3yi/app.bsky.feed.post/3kpleozrjs22q,bafyreicb3nw5mlo3ry7ooh6adtxbvtwhrddoixr6ljd7amlhucik5j46si,post,2024-04-08T00:12:43.230Z,gossipcop-894416,1,0,meadowdetector.bsky.social,571,581,
at://did:plc:be6tjllolmvzlhwmdg2mxbyw/app.bsky.feed.post/3koniqhagjz2w,bafyreigsr7jakmer6jq5cr4di2mrt5ylkd3us7pqhbvq7h2n7orrsyjkxu,post,2024-03-27T03:05:12.472Z,gossipcop-894416,1,0,kaijusaur.io,611,1036,
