post_uri,post_cid,type,date,news_id,like_count,repost_count,user_name,follower_count,follows_count,retweet_date
at://did:plc:b4ytafwctzq7dl3of433x7lz/app.bsky.feed.post/3le7nln32ws24,bafyreieo5pg7lrxr3nqgcicdld7x7t2go2vx7zozr7j7lwkn4tverqm4kq,post,2024-12-26T14:08:58.800Z,politifact14404,0,0,danielleschatten.bsky.social,32,55,
at://did:plc:2otmwo2cntpk63ghqvss4szp/app.bsky.feed.post/3le7ne47hf22c,bafyreidctc5eykabogyqamrllmrpy57orajrghukwdcoo62nbemricoqpm,post,2024-12-26T14:04:46.231Z,politifact14404,0,0,puppybell.bsky.social,307,108,
at://did:plc:uaezc4lyaj7l34j37rsxrm4j/app.bsky.feed.post/3le7ncepffk25,bafyreiahtx7lix6u4umunipxep6j7id3b2pktysk6id4y7joqqaklwormu,post,2024-12-26T14:03:48.027Z,politifact14404,2,0,alanacct.bsky.social,578,723,
at://did:plc:j7cf7ocetbiy77l6jnpu4g5d/app.bsky.feed.post/3le7n4hs55s2f,bafyreidsifrc4haod4vpa7j6khqeqygs76ix4nhssu5c2tdgewspbue2nq,post,2024-12-26T14:00:29.928Z,politifact14404,0,0,queenbuttpirate.bsky.social,231,552,
at://did:plc:7rd2my6qywq65ez5ke6jnlsn/app.bsky.feed.post/3le7mwe6y722r,bafyreif3pzpa664ibpgyirkmzkmc4juhwuifesrqdwasnl7z5uahvg5fqa,post,2024-12-26T13:57:04.848Z,politifact14404,0,0,writeroftruth.bsky.social,3959,7381,
at://did:plc:wpqsjjctj7h35r6d7kirm2e4/app.bsky.feed.post/3le7mv2qors2w,bafyreido74munflzffui7sosvz5wjzepvbtf6u7sbqshl5pi4z52usopoa,post,2024-12-26T13:56:21.387Z,politifact14404,0,0,oriolesreview.bsky.social,808,112,
at://did:plc:wr7y25xbgaozwc7gk3ladkku/app.bsky.feed.post/3le7moajiuk24,bafyreideymatfuha3xrs5zv7qxcfz5rc7nk2ecf7zaeu74g7q22aeq3vmy,post,2024-12-26T13:52:32.563Z,politifact14404,0,0,bigpixie.bsky.social,11,6,
at://did:plc:jdmj2q6krgku4zkkketdcvqt/app.bsky.feed.post/3le7merqe522p,bafyreifchx6zloq5uczkt2im3dt32lyyvfubhibkywb57bfasaurnl5jzu,post,2024-12-26T13:47:15.068Z,politifact14404,0,0,dems2024.bsky.social,160,104,
at://did:plc:qovas5h3c653ciiwjb3fskrm/app.bsky.feed.post/3le7mdrgrw22m,bafyreig26dfyvthscamorxgiurmibl2ab3nboic2uxin2cqqzxc2c2tj3u,post,2024-12-26T13:46:41.200Z,politifact14404,0,0,tootsiesays0001.bsky.social,244,230,
at://did:plc:3sufzti224t5jfvem234z67q/app.bsky.feed.post/3le7m44r7222q,bafyreic3koe2cnk7gxgamcwnjxfmofkq5qe353xywtmvcr2mga2myujnq4,post,2024-12-26T13:42:24.619Z,politifact14404,1,0,fiery-valeria.bsky.social,278,36,
at://did:plc:xo5mptm7itdzjlmilnmcxvgr/app.bsky.feed.post/3lb66ja3x2w2w,bafyreid6ak3xzyeq7x52efibmlr7l4yl4qaqj73sp5sv5vmmzd2eqwspou,post,2017-11-04T11:15:52.000Z,politifact14795,0,0,siliconglen.bsky.social,411,1404,
at://did:plc:fdbcjebo76fuaggdhuhkbgvf/app.bsky.feed.post/3lb7r35xnpn22,bafyreidtbjb353bbyijj2divy7c7cdqs6pqjjwnrkqkaymd5szi73crkym,post,2016-12-06T02:20:11Z,politifact15164,0,0,carthagebp.bsky.social,40,24,
