news_id,average followers,average follows,repost total,post total,repost percentage,average repost,average favorite,label,news lifetime,nb users 10 hours,average time difference,retweet percentage 1 hour
politifact13467,842.304347826087,610.360248447205,1224,97,0.9265707797123391,26.207418622255865,15.22360248447205,0,57661,8,0.0,0.001514004542013626
politifact13496,192.0,933.0,0,1,0.0,0.0,0.0,0,0,1,0.0,1.0
politifact13515,3798.5975975975975,1852.3093093093094,5878,100,0.9832719973235196,38.14854466376715,124.94294294294295,0,55816,1,0.0,0.00016728002676480428
politifact13687,517.0,1026.0,0,1,0.0,0.0,0.0,0,0,1,0.0,1.0
politifact13731,4134.334605597965,1814.613231552163,32458,198,0.993936795688388,166.10411562959334,353.7175572519084,0,75836,5,0.0,6.124448799608035e-05
politifact13773,1189.0,1420.0,0,1,0.0,0.0,0.0,0,0,1,0.0,1.0
politifact13949,3937.0,921.4545454545455,10,7,0.5882352941176471,0.9411764705882353,19.363636363636363,0,60359,1,0.0,0.058823529411764705
politifact13973,11118.5,1351.1666666666667,0,6,0.0,0.0,0.0,0,74512,2,0.0,0.3333333333333333
politifact14148,16544.0,1887.0,0,1,0.0,0.0,0.0,0,0,1,0.0,1.0
politifact14404,1361.963963963964,1055.1711711711712,78,100,0.43820224719101125,3.269662921348315,2.3423423423423424,0,10056,100,0.0,0.21348314606741572
politifact14421,2239.0,536.0,0,1,0.0,0.0,8.0,0,0,1,0.0,1.0
politifact14498,2444.827089337176,1640.8242074927955,34375,97,0.9971861220700858,94.61359944302622,417.78674351585016,0,29874,1,0.0,2.9009050823857045e-05
politifact14548,3875.214285714286,1228.6948051948052,8122,100,0.9878375091218682,49.578204816346386,158.9090909090909,0,67993,7,0.0,0.00012162490878131841
politifact14667,3635.952218430034,4105.529010238908,20427,100,0.9951283675159546,94.10756564524772,214.2866894197952,0,58868,19,0.0,4.8716324840454034e-05
politifact14742,1267.6666666666667,848.0,0,6,0.0,0.0,2.0,0,48308,1,0.0,0.16666666666666666
politifact14769,7691.527777777777,1538.0,288,4,0.9863013698630136,15.780821917808218,61.5,0,2023,1,0.0,0.00684931506849315
politifact14785,102619.0,53.666666666666664,0,3,0.0,0.0,2.3333333333333335,0,1551,2,0.0,1.0
politifact14795,412.0,1404.0,0,1,0.0,0.0,0.0,0,0,1,0.0,1.0
politifact14831,1743.8936170212767,1009.3687943262412,3254,71,0.9786466165413534,53.84541353383459,86.60992907801419,0,42927,21,0.0,0.0009022556390977444
politifact14855,6490.975274725275,1343.7692307692307,24148,84,0.9965335094090458,89.43141300759326,126.92857142857143,0,78677,1,0.0,4.1267745130406077e-05
politifact14944,308.3333333333333,618.6666666666666,2,2,0.5,0.5,1.6666666666666667,0,2177,1,0.0,0.25
politifact14950,2316.3476394849786,961.4849785407725,3228,100,0.9699519230769231,37.00961538461539,45.283261802575105,0,33042,5,0.0,0.00030048076923076925
politifact15164,39.0,24.0,0,1,0.0,0.0,0.0,0,0,1,0.0,1.0
politifact15256,5655.789514263685,2369.579799537394,410276,300,0.9992693192003429,298.0970100541678,1753.420200462606,0,44590,73,0.0,1.70492186586649e-05
politifact15573,2640.907103825137,2314.431693989071,1720,98,0.9460946094609461,29.757975797579757,40.89071038251366,0,32242,91,0.0,0.005500550055005501
politifact15584,1789.7565543071162,809.3445692883895,16037,47,0.9970778413330017,83.99639393185775,160.59550561797752,0,54780,1,0.0,6.217358865953743e-05
politifact15606,16096.0,2815.25,12,1,0.9230769230769231,2.769230769230769,51.0,0,0,1,0.0,0.07692307692307693
politifact10209,1841.3333333333333,923.0555555555555,180,6,0.967741935483871,9.483870967741936,45.611111111111114,1,69365,1,0.0,0.005376344086021506
