post_uri,post_cid,type,date,news_id,like_count,repost_count,user_name,follower_count,follows_count,retweet_date
at://did:plc:22g3mf3sm5z4lp7zfk6ncv32/app.bsky.feed.post/3le67z5mass22,bafyreihsqwltxzvy55shly67exttzmamirfrrbgutaysmltw7uwr33vxly,post,2024-12-26 00:33:20.223000+00:00,politifact14984,0,0,prognews.bsky.social,86,12,
at://did:plc:ngygrbhyzeyigjlxnli3r2xw/app.bsky.feed.post/3ldvljaoxds22,bafyreiaim3w4bcbajxupci7vfnw67ozr4cmy72ttheimfigfzurw7v56oq,post,2024-12-22 14:05:12.057000+00:00,politifact14984,1,0,themoneycruncher.bsky.social,1052,102,
at://did:plc:il7345tnmrhnzaufvgk5qfcx/app.bsky.feed.post/3ld57zm5ybk2r,bafyreif2fveaw7subm7yfe6avtzkucglpvibgp2qols7ojlednvex4q6yq,post,2024-12-12 21:35:44.118000+00:00,politifact14984,1,0,srubenfeld.bsky.social,849,322,
at://did:plc:sk44rhbmaca3ltsa4c6v6da2/app.bsky.feed.post/3lcxhlh6spq2v,bafyreigvqyv6ih42pbugjdg3enkbidvu7etu3kstqxtwbtlnbl6knya73y,post,2024-12-10 14:34:58+00:00,politifact14984,1,0,worldnewsguru.bsky.social,241,0,
at://did:plc:vyytbbzsqq4ihfgpdlgyjwc3/app.bsky.feed.post/3lcxfzfphaw2j,bafyreieh4m2ej3nw2s3amso4hxlw2kk6fqoblryw5ooh2j53vdhrw7bvaa,post,2024-12-10 14:06:59+00:00,politifact14984,0,0,newsw0rld.bsky.social,39,19,
at://did:plc:7bgttf5dscwdbpn5r67ig7zb/app.bsky.feed.post/3lcxbwjvtk22t,bafyreiefdcvelgytdvv2fea24waarueb7whoeyma7756ue2xme5o2v4b44,post,2024-12-10 12:53:50.145000+00:00,politifact14984,1,0,mjm314.bsky.social,795,1326,
at://did:plc:43fdk46qa5gsokzygzildsaq/app.bsky.feed.post/3lcx3n2onkk2a,bafyreidpbfe5ebw5ivaegh5gbloq4hsok42rmsrkflsz2vlurmdd3fup7i,post,2024-12-10 11:01:09.467549+00:00,politifact14984,0,0,fintwitter.bsky.social,111,1,
at://did:plc:wv7jxdjch3a6djpkv4hfwfou/app.bsky.feed.post/3lcvotd4lpc22,bafyreia667aoxmkweidf43xeijnk3mzd7a5eochae6trhchz2ufh2reioe,post,2024-12-09 21:39:21.528000+00:00,politifact14984,1,0,msraitchetp.bsky.social,206,201,
at://did:plc:txgl3d7c55hhvg66c6apyesu/app.bsky.feed.post/3lcvkn3slcs2b,bafyreifao37hdou6z2xhd7j4op7cnx5y3yhdhbfhijtshgn5safnleuetu,post,2024-12-09 20:24:17.568000+00:00,politifact14984,0,0,digtialbootleg.bsky.social,603,636,
at://did:plc:3xykimydylhsw2rz6gfv33ti/app.bsky.feed.post/3lebrbfk4bs2s,bafyreiaj3iwfw5iqpp6ow62uiz2z5t5ffj2z3chmxhw3nu5ihizadrnici,post,2024-12-27 10:20:09.804000+00:00,politifact14474,0,0,knightsofblue.bsky.social,655,1177,
